Article Title,Author,Journal Title,International,Subjects,Keywords,text
(Des)confianza en las instituciones. El caso de la Cámara de Diputados en México (2000-2010).,"FLORES ANDRADE, ANSELMO",Foro Internacional,1,LEGISLATORS; PUBLIC institutions; MEXICO. Congreso. Camara de Diputados,institutions; Mexican Congress; political culture; social values; trust; confianza; Congreso mexicano; cultura política; instituciones; valores sociales; confiance; Congrès mexicain; culture politique; institutions; valeurs sociales,"This article presents a number of variables that account for the (lack of) trust in the Chamber of Deputies. Rather than offering a detailed analysis, it highlights broader aspects of the state apparatus where different variables affect trust in institutions. Taking a multi-focus approach incorporating attitudes and values, as well as assessments of the operation and performance of institutions, the article addresses levels of trust in Congress."
(NON)FRAGMENTATION OF MEDIA AUDIENCE IN LITHUANIA DURING THE 2012 PARLIAMENT ELECTION CAMPAIGN.,"Nevinskaitė, Laima",Politologija,1,MASS media & politics; ELECTIONS; LITHUANIA,,"An abstract of the article ""(Non)Fragmentation of Media Audience in Lithuania During the 2012 Parliament Election Campaign,"" by Laima Nevinskait ė is presented."
«As You Deem Best»: Tacit Knowledge and Innovation in the Wood and Furniture District of Brianza.,"Parolin, Laura Lucia; Mattozzi, Alvise",Polis,1,TECHNOLOGICAL innovations; FURNITURE industry; TACIT knowledge,Actor-network theory; industrial district; innovation; network within; tacit knowledge,"The article introduces a case of innovation, that took place in the Brianza wood and furniture industrial district, during the course of interaction between two craftsmen with materials, prototypes, rendering and a product manager from a relevant furniture design company based in the very district. Through a detailed description of these interactions, taking into account their corporal and sensitive features, authors want to show how tacit knowledge is deployed within the interorganisational relations and how this process can lead to innovation. The adoption of an Actor-network theory approach leads authors to consider not how knowledge circulates within a network, but rather how knowledge emerges, reverberates and transforms through the very rearticulating process of the network. It has been possible to show such dynamic thanks to the fact that not only relations among different interorganisational actors, but also the network within certain actors -- the two craftsmen and the pieces on which they worked - have been taken into account."
"4th Annual CICA/STR International Conference on Aggression, Political Violence and Terrorism: An Interdisciplinary Approach for a Peaceful Society.","Walters, TaliK.; Ramírez, JesúsMartín; Bettin, Miguel",Behavioral Sciences of Terrorism & Political Aggression,0,TERRORISM; AGGRESSION (International law); DRUG traffic; ANTISOCIAL personality disorders,,"The article presents abstracts on terrorism and political aggression including ""The language of terrorism and its effects,"" by Valentina Bartolucci, ""Prevalence of posttraumatic stress and antisocial personality disorder in deserters of guerrillas,"" by Marta Cecilia Baldovino, and ""Possible criminal justice solutions to organized crime: Drug trafficking and terrorism,"" by Pilar Otero."
A Legal Analysis of International Sanctions.,"KARABULUT, Bilal",Review of International Law & Politics,0,SANCTIONS (International law); INTERNATIONAL law; UNITED Nations. Charter,Blockade; Boycott; Embargo; Iraq; Reprisals or Retaliation; Retorsion; Sanction; Smart Sanctions; United Nations,"The basic aim of this study is examining the concept of international sanctions. In the first part of study international sanctions will be examined in conceptual and historical aspects. In this context Boycott, Embargo, Blockade, Retorsion, Reprisals or Retaliation concepts will be examined. In the second part of study international sanctions will be examined from the aspect of United Nations Charter. In the last part of study the concept of ""Smart Sanctions"" will be examined."
A meta‐analysis of the indirect impact of foreign direct investment in old and new EU member states: Understanding productivity spillovers.,"Bruno, Randolph Luca; Cipollina, Maria",World Economy,0,META-analysis; FOREIGN investments; EXTERNALITIES (Economics); QUANTITATIVE research; EUROPEAN Union,enlarged Europe; firm performance; foreign direct investment; meta‐regression analysis,"Abstract: In this paper, we summarise, combine and explain recent findings from firm‐level empirical literature focusing on the indirect impact of foreign direct investment (FDI) on economic performance, measured as productivity, in the Enlarged Europe. We have reviewed 52 quantitative studies, released between 2000 and 2015 and codified 1,133 estimates. We run a regression of regressions which measures the strength of the FDI–productivity relationship. Taking advantage of large number of high‐quality studies on FDI and its role in explaining the growth in firms’ productivity in Europe, we adopt recent meta‐regression analysis methods<italic>—funnel asymmetry and precision estimate tests</italic> and <italic>precision‐effect estimate with standard errors</italic>—to explain the heterogeneous impact of FDI. This paper assesses the country‐specific impact of FDI on firms’ performance, after taking publication selection bias, econometric modelling and the individual studies’ characteristics fully into account. Our results show that on average FDI has a positive indirect impact on productivity. The impact is especially significant in selected European countries, and we interpret this as a sign of better absorptive capacities in those countries."
a Moral Insanitya and a Moral Squalora: Terrorism as a Political and Cultural Phenomenon,,Orbis,1,,,
A New Authority Emerging out of Harmonization Needs: Is BEREC the right solution for European eCommunications Market?,"BEYDOĞAN, Turgut Ayhan",Review of International Law & Politics,0,TELECOMMUNICATION policy; EUROPEAN Community; TELECOMMUNICATION -- Europe,2002 Regulatory Framework; BEREC; eCommunications; EU commission; harmonization,"Since the establishment of the European Community, creating an effective eCommunications single market has been a matter of highest political priority. As a result of certain technological development and enhanced competition as well as keeping with the principle of 'better regulation needs, the EU Commission has reviewed 2002 Regulatory Framework which preliminarily aimed at shedding light on a number of important problems that remain to be solved, in particular the lack of consistency in the application of EU rules and the regulatory fragmentation of the internal market. However, due to several reasons, the European Union (EU) has not become so successful in constituting such a harmonized eCommunications market mainly stemming from different applications applied in different member states. To overcome these obstacles, the Commission is therefore, in the end decided to establish a new Body of European Regulators for Electronic Communications (BEREC) which has the responsibility to work in close cooperation with National Regulatory Agencies (NRAs) and the Commission. U is understood that the Authority has an advisory role vis-à-vis the Commission as regards market regulation issues and could issue non-binding guidelines, recommendations and binding decisions in specific circumstances to promote and disseminate good practices among the NRAs, However, there are also some hesitations about the power of BEREC and its capability with regard to ensure consistency of NRAs' approaches and/or implementations. In this paper, it is discussed as to whether the creation of the Body of European Regulators for Electronic Communications (BEREC) is the right solution for the intended results of a harmonized eCommunications market and elimination of inconsistency in the application of EU rules."
A Theoretical Explanation on Historical Experience and the Vision of Future of Building up the Ruling Party in China.,Tang Huangfeng,Wuhan Daxue Xuebao (Zhexue Shehui Kexue Ban)/Wuhan University Journal (Philosophy & Social Sciences),1,NATION building; CHINESE Communist Party; CHINA -- Politics & government,building up the ruling party; openness and inclusiveness; the capacity of political leadership; the experience of China's political transformation; Transforming Party,"The Chinese Communist Party (CPC) as the key agent of state-building and political development, the experience and tendency of its own transition and development is of great significance to rationally scrutinize the process of political transformation in China. Since the reform and opening up, the development of the market economy had extensively and intensively changed China's political environment. Moreover, profound changes in internal and external governance environment had promoted rationalization and modernization of the CPC itself. In response to the social demand and in order to solve social problems effectively, the ruling party had incrementally achieved modern transformation. To enhance the ruling party's adaptability gradually through political openness is the basic historical experience to build up a transforming party in power. Reconstructing the transforming party, promoting its openness and inclusiveness, improving its responsiveness and adaptability, enhancing the capacity of political leadership in order to control the reforming tides, then guiding and leading modern transformation of Chinese state through modern transformation of the ruling party, all are the visions of future on building up the ruling party in China."
AB Birincil Hukukunda Azınlıkların Korunmasının Hukuki Dayanağı.,"ARSAVA, A. Füsun",Review of International Law & Politics,0,,6. Madde; AİHK; AB Antlaşması; AB Temel Hak Düzenlemeleri; ATAD; Azınlıkları Koruma Prensibi; Azınlıkların Korunması; Lizbon Sözleşmesi; Temel Haklar Şartı; Ulusal Azınlıklar Çerçeve Sözleşmesi,"Azınlıkların korunması konusunda Avrupa Birliği (AB) birincil Hukukunda başlangıçta söz konusu olan boşluğun içtihat hukuku ve günümüzde Lizbon sözleşmesi ile doldurulmaya çalışıldığı görülmektedir. Azınlıkların korunmasına ilişkin AB müktesebatının şekillenmesinde AİHK yanışım Avrupa Konseyi Ulusal Azınlıklar Çerçeve Sözleşmesi, üye devletlerin ortak anayasal gelenekleri ve AB Temel Hakları Şartı rol oynamaktadır. Azınlıkların korunması, AB müktesebatında bir anayasa prensibi olarak kabul edildiği nispette AB kurumsal yapısında ihdas edilen tasarruflara ve üye devletlerin AB müktesebatını icrasına esas olmakta ve AB'ye aday devletler bakımından da yerine getirilmesi gereken siyasi kriterler arasında değerlendirilmektedir."
ABD'nin Afganistan Politikasının Açmazları: Bölgesel Bir Analiz.,"ÖNAL, Hilal",Review of International Law & Politics,0,,ABD Diş Politikası; Afganistan; Pakistan; Taliban; terörizm,"Bilindiği gibi, 11 Eylül saldırıları sonucunda ABD’nin ilk hedefi, terörizme destek verdiği iddia edilen Afganistan’daki Taliban yönetimi olmustur. ABD, Afganistan odaklı bölgesel çıkarlarını hayata geçirmeye ve bu doğrultuda 2001 yılından beri bölgede süregelen istikrarsızlığı ortadan kaldırmaya çalısmaktadır. Ancak, bu bölgeye iliskin ABD’nin asması gereken birçok engel bulunmaktadır. Öncelikle, Taliban Afganistan’ın büyük bölümünde kontrolü elinde tutmakta ve Pakistan’daki etkisini de artırmaktadır. Ayrıca, ABD’nin Afganistan’a yerleserek ulasmaya çalıstığı stratejik ve ekonomik hedefleri, bölgesel rakipleri olan Rusya ve Çin ile çatısmaktadır. Bu bağlamda, tüm bu çatısan çıkarları ve Afganistan’daki dengeleri etkileme potansiyelleri ile İran ve Pakistan’ın ön plana çıktığını belirtmek gerekmektedir. Bölgede değisen ve çatısan ulusal çıkar kapsamlı politikalar, ABD’nin Afganistan’da Taliban ile mücadelesini de olumsuz yönde etkilemektedir. Bu çalısmada, belirttiğimiz hususların veya olumsuzlukların ABD’yi bölgede basarısız kılabileceği savunulmaktadır."
abstract.,,Critique Internationale,1,INTERNATIONAL relations; NUCLEAR nonproliferation; WORLD War III; INTERNATIONAL security; DEVELOPING countries,,"The article presents abstracts on topics related to critics and international relations including the narratives of emergence, focusing on the rising powers during the end of the third World War, the transformation of global security governance in emerging countries and generation X groups, and nuclear proliferation and teleological biases in international relations."
abstract.,,Politique Étrangère,1,"IRAQ; UKRAINE Conflict, 2014-",,"The article presents several abstracts on various international issues as of June 2014 including the Russian-Ukrainian Conflict, Kurdish movement in Iraq and civil war in Syria."
Abstract.,,Zeitschrift für Internationale Beziehungen (ZIB),1,INTERNATIONAL relations; SOCIAL sciences; METHODOLOGY; EUROPEAN Union,,"The article presents abstracts of the articles in the issue, including ""Executive Governmentality and the Administrative Mainstreaming of International Politics,"" by Andreas Vasilache, ""Activists and Fence-Sitters: The Negotiation Activities of the 27 Member States in the European Union,"" by Diana Panke, and ""On Problems of Collective Action: A Quantitative Study of International Environmental Regimes,"" by Tobias Böhmelt and Ulrich H. Pilster."
Abstract.,"Seliger, Bernhard",North Korean Review,1,BOOKS -- Reviews,,"An abstract for the book reviews published in the spring 2010 issue of ""North Korean Review"" is presented."
Abstract.,,Politix,1,POLITICAL participation; SOCIAL movements; ACTIVISTS; ACTIVISM; POLITICAL action committees,,"The article presents abstracts on political topics which include social militancy, managing political internal crisis, and political activism."
Abstract.,,International Affairs,0,"MIDDLE East-United States relations; GERMANY -- Foreign relations -- Russia; SYRIAN Civil War, 2011-; TWENTY-first century",,"Abstracts for articles on international relations for articles within this issue are presented on topics including U.S. foreign policy under U.S. President Barack Obama toward the Middle East in the aftermath of the Arab Spring, a study of German Russian foreign relations, and food aid during the Syrian Civil War of 2012-2015."
Abstract.,,Politix,1,HOUSING policy; WORKING class; SOCIAL constructionism; HOME ownership; HOUSING market,,"The article presents abstracts on topics related to housing policy including the promotion of home ownership among working-classes, political construction of housing markets, and development of Portugal's first major state housing policy."
Abstract.,,Politix,1,LABOR unions; IDEOLOGY; FARMERS' associations; DAIRY farmers; AGRICULTURE -- France,,"The article presents abstracts of politics-related papers published within the issue, including ""The Erosion of the Power to Represent: The Space of Agricultural Expression in France Since the 1960s,"" ""When Organic Farmers Shuffle Professional Representation. Institutionalisation of Organic Farming in the Alpes-Maritimes"" and ""Teaching Terroir: The Challenge of Ideological Appropriation by Dairy Farmers in AOC Union Organizations."""
ABSTRACTS & KEYWORDS.,,Review of International Law & Politics,0,INTERNATIONAL law; WORLD politics; LEGAL status of minorities; EUROPEAN Union; AFGHANISTAN-United States relations,Afghanistan; Article 6; Change; Charter of Fundamental Rights; Continuation; ECHR; ECJ; EU Citizenship; European Court of Justice; European Integration; Foreign Policy; Framework Convention for the Protection of Minorities; Free movement; Great Power; International System; Pakistan; Protection of Minorities; Taliban; Terrorism; Treaty of Lisbon; Treaty of the EU; US Foreign Policy,"The article presents abstracts on issues related to international law and politics including the legal basis of protection of minorities under European Union law, free movement and European citizenship, and foreign policy of Afghanistan for the U.S."
Abstracts - Résumés.,,Rivista di Studi Politici Internazionali,1,EUROPEAN integration; PUBLIC institutions; ARMED Forces; INDIA; EUROPEAN Union,,
Abstracts - Résumés.,,Rivista di Studi Politici Internazionali,1,SUBSIDIARITY; CONFERENCES & conventions; BRICS countries; TREATY on European Union (1992),,"The article presents abstracts of articles on the topics including enlargement of the European Union, fourth summit of BRICS (Brazil, Russia, India, China and South Africa) on the objectives of BRICS as of October 2012 and subsidiarity principle in the Maastricht treaty of European Union of 1992."
Abstracts et résumés.,,Revue d'Études Comparatives Est-Ouest,1,POLITICAL opposition; ENERGY security; POLITICAL corruption; RUSSIA; UKRAINE; EUROPEAN Union countries,,"The article presents abstracts on historical topics which include political opposition and democracy in contemporary Russia, the relationship between the European Union and Russia surrounding energy independence, and political corruption in the Ukraine."
Abstracts et résumés.,,Revue d'Études Comparatives Est-Ouest,1,,,
Abstracts et résumés.,,Revue d'Études Comparatives Est-Ouest,1,"ANTI-communist movements; EUROPEANIZATION; CLERICALISM; KOMARNO (Zapadoslovensky kraj, Slovakia); POLAND; BULGARIA -- Politics & government -- 1990-; POLISH history -- 1989-",,"The article presents abstracts on the subject of national divisions and local transfers in Central Europe, with topics including Europeanization theories in local development policy in Bulgaria from 1990 to 2013, the city of Komarno in Slovakia, and anti-communism and clericalism in Poland after 1989."
Abstracts et résumés.,,Revue d'Études Comparatives Est-Ouest,1,RECONCILIATION (Law); ORGANIZATION for Security & Co-operation in Europe,,"The article presents abstracts on topics including policy of reconciliation in Europe, international justice, and the role of Organization for Security and Cooperation in Europe (OSCE) in Kosovo."
ABSTRACTS ET RÉSUMÉS.,,Revue d'Études Comparatives Est-Ouest,1,,,
ABSTRACTS IN ENGLISH OF DPHIL AND PHD THESES ON MAURITA.,"Ben-Madani, Mohamed",Maghreb Review,1,HISTORY; LANGUAGE policy; MAURITANIA; ROCK art (Archaeology),,"The article presents abstracts of DPhil and PhD theses on topics related to Mauritania, including ""The Use of National Languages in the School System of Mauritania"" by Amadou Racine, ""The Role of Shaikh Sidiyya and the Qadiriyya in Southern Mauritania: An Historical Interpretation"" by C. C. Stewart, and ""A New Recording of Mauritanian Rock Art"" by H. A. A. Abd-el-Moniem."
Abstracts in French and Spanish.,,International Political Science Review,0,POLITICAL science; LEGITIMACY of governments; LEGITIMATION (Sociology); DEMOCRACY; ELECTIONS,,"The article presents abstracts on international political science topics which include political and social legitimacies in liberal democracies, women in political leadership positions, and the politics of electoral reform in Great Britain and British Columbia."
Abstracts in French and Spanish.,,International Political Science Review,0,POLITICAL science; HUMAN trafficking; NEGATIVE campaigning; LANGUAGE & languages -- Political aspects; NATIONALISM; ORGANIC farming,,"French and Spanish language abstracts of the journal articles are offered on subjects such as organic farming, United Nations (UN) intervention and human trafficking, and language and conflict."
Abstracts in French and Spanish.,,International Political Science Review,0,POLITICAL science; CHAUVINISM & jingoism; POPULISM; EXECUTIVE power,,"The article presents abstracts on abstracts related to political science, including chauvinism, populism and executive power."
